,기간,자치구,사업체수,사업체 창업률
137,2015.0,금천구,30080.0,13.01
138,2016.0,금천구,30987.0,12.22
139,2017.0,금천구,31750.0,10.8
140,2011.0,은평구,23055.0,15.54
141,2012.0,은평구,23325.0,14.4
142,2013.0,은평구,23953.0,12.3
143,2014.0,은평구,24269.0,13.36
144,2015.0,은평구,24179.0,12.99
145,2016.0,은평구,24615.0,12.0
146,2017.0,은평구,24561.0,10.76
147,2011.0,성동구,23300.0,11.35
148,2012.0,성동구,24250.0,11.9
149,2013.0,성동구,24803.0,11.45
150,2014.0,성동구,25714.0,12.11
151,2015.0,성동구,26130.0,13.25
152,2016.0,성동구,26581.0,11.55
153,2017.0,성동구,27278.0,11.62
154,2011.0,강북구,19404.0,16.07
155,2012.0,강북구,19485.0,14.2
156,2013.0,강북구,19248.0,13.91
157,2014.0,강북구,19223.0,14.77
158,2015.0,강북구,18654.0,14.82
159,2016.0,강북구,18742.0,12.9
160,2017.0,강북구,18928.0,12.43
161,2011.0,강남구,57987.0,16.32
162,2012.0,강남구,62448.0,15.9
163,2013.0,강남구,62614.0,16.5
164,2014.0,강남구,70262.0,15.73
165,2015.0,강남구,73590.0,17.31
166,2016.0,강남구,72281.0,16.1
167,2017.0,강남구,72511.0,14.94
168,2011.0,구로구,33784.0,13.28
169,2012.0,구로구,35523.0,11.6
170,2013.0,구로구,35352.0,11.82
171,2014.0,구로구,36679.0,12.03
172,2015.0,구로구,37445.0,13.63
173,2016.0,구로구,38033.0,11.19
174,2017.0,구로구,38405.0,10.3
