,기간,자치구,총전입,총전출
621,2015년10월,광진구,"5,050","5,537"
622,2015년11월,광진구,"4,741","5,123"
623,2015년12월,광진구,"4,775","5,233"
624,2016년01월,광진구,"3,932","4,290"
625,2016년02월,광진구,"5,397","5,526"
626,2016년03월,광진구,"5,444","5,671"
627,2016년04월,광진구,"4,659","4,997"
628,2016년05월,광진구,"4,532","5,154"
629,2016년06월,광진구,"4,530","4,919"
630,2016년07월,광진구,"4,052","4,441"
631,2016년08월,광진구,"4,844","5,208"
632,2016년09월,광진구,"4,234","4,560"
633,2016년10월,광진구,"4,576","5,228"
634,2016년11월,광진구,"4,541","5,205"
635,2016년12월,광진구,"4,621","5,247"
636,2017년01월,광진구,"3,992","4,022"
637,2017년02월,광진구,"5,739","5,783"
638,2017년03월,광진구,"5,253","5,519"
639,2017년04월,광진구,"4,263","4,245"
640,2017년05월,광진구,"4,586","4,871"
641,2017년06월,광진구,"4,445","4,410"
642,2017년07월,광진구,"4,282","4,184"
643,2017년08월,광진구,"5,245","4,981"
644,2017년09월,광진구,"4,701","4,885"
645,2017년10월,광진구,"4,415","4,569"
646,2017년11월,광진구,"4,644","4,583"
647,2017년12월,광진구,"4,445","4,595"
648,2018년01월,광진구,"4,638","4,627"
649,2018년02월,광진구,"5,321","5,471"
650,2018년03월,광진구,"5,447","6,072"
651,2018년04월,광진구,"4,650","5,111"
652,2018년05월,광진구,"4,488","5,096"
653,2018년06월,광진구,"3,952","4,476"
654,2018년07월,광진구,"4,053","4,565"
655,2018년08월,광진구,"4,251","4,584"
656,2018년09월,광진구,"3,386","3,547"
657,2018년10월,광진구,"5,766","5,740"
658,2018년11월,광진구,"5,286","4,925"
659,2018년12월,광진구,"4,490","4,560"
660,2014년01월,용산구,"2,765","2,868"
661,2014년02월,용산구,"3,702","3,827"
662,2014년03월,용산구,"3,585","3,923"
663,2014년04월,용산구,"3,151","3,613"
664,2014년05월,용산구,"3,117","3,314"
665,2014년06월,용산구,"2,757","3,207"
666,2014년07월,용산구,"2,711","3,287"
667,2014년08월,용산구,"2,538","3,048"
668,2014년09월,용산구,"2,557","2,997"
669,2014년10월,용산구,"3,081","3,716"
670,2014년11월,용산구,"2,652","3,337"
671,2014년12월,용산구,"3,002","3,498"
672,2015년01월,용산구,"2,779","3,061"
673,2015년02월,용산구,"3,023","3,113"
674,2015년03월,용산구,"3,800","4,113"
675,2015년04월,용산구,"3,330","3,592"
676,2015년05월,용산구,"3,048","3,396"
677,2015년06월,용산구,"3,189","3,599"
678,2015년07월,용산구,"3,077","3,464"
679,2015년08월,용산구,"3,075","3,552"
680,2015년09월,용산구,"2,821","3,175"
681,2015년10월,용산구,"3,152","3,745"
682,2015년11월,용산구,"2,838","3,107"
683,2015년12월,용산구,"2,932","3,444"
684,2016년01월,용산구,"2,567","2,906"
685,2016년02월,용산구,"3,416","3,688"
686,2016년03월,용산구,"3,479","3,769"
687,2016년04월,용산구,"2,691","2,950"
688,2016년05월,용산구,"2,790","3,108"
689,2016년06월,용산구,"2,709","3,019"
690,2016년07월,용산구,"2,551","2,813"
691,2016년08월,용산구,"2,885","3,391"
692,2016년09월,용산구,"2,490","2,950"
693,2016년10월,용산구,"2,757","3,336"
694,2016년11월,용산구,"2,904","3,400"
695,2016년12월,용산구,"2,885","3,285"
696,2017년01월,용산구,"2,602","2,852"
697,2017년02월,용산구,"3,540","3,786"
698,2017년03월,용산구,"3,216","3,490"
699,2017년04월,용산구,"2,484","2,943"
700,2017년05월,용산구,"2,873","3,132"
701,2017년06월,용산구,"2,877","2,848"
702,2017년07월,용산구,"2,645","2,790"
703,2017년08월,용산구,"3,191","3,180"
704,2017년09월,용산구,"3,147","3,079"
705,2017년10월,용산구,"2,752","2,670"
706,2017년11월,용산구,"2,866","2,967"
707,2017년12월,용산구,"2,961","2,885"
708,2018년01월,용산구,"3,361","3,014"
709,2018년02월,용산구,"3,583","3,341"
710,2018년03월,용산구,"4,042","3,927"
711,2018년04월,용산구,"3,040","3,050"
712,2018년05월,용산구,"3,086","3,175"
713,2018년06월,용산구,"2,920","3,161"
714,2018년07월,용산구,"2,849","3,043"
715,2018년08월,용산구,"2,803","2,925"
716,2018년09월,용산구,"2,376","2,470"
717,2018년10월,용산구,"3,453","3,500"
718,2018년11월,용산구,"3,165","3,200"
719,2018년12월,용산구,"2,661","2,995"
720,2014년01월,구로구,"4,177","4,310"
721,2014년02월,구로구,"6,895","6,241"
722,2014년03월,구로구,"6,665","5,998"
723,2014년04월,구로구,"5,862","5,652"
724,2014년05월,구로구,"5,194","5,294"
725,2014년06월,구로구,"5,658","5,651"
726,2014년07월,구로구,"4,959","5,233"
727,2014년08월,구로구,"4,470","5,088"
728,2014년09월,구로구,"4,232","4,566"
729,2014년10월,구로구,"5,133","6,035"
730,2014년11월,구로구,"4,657","5,254"
731,2014년12월,구로구,"4,902","5,703"
732,2015년01월,구로구,"4,162","4,599"
733,2015년02월,구로구,"4,516","4,982"
734,2015년03월,구로구,"5,755","5,696"
735,2015년04월,구로구,"5,012","5,346"
736,2015년05월,구로구,"4,815","5,222"
737,2015년06월,구로구,"4,995","5,612"
738,2015년07월,구로구,"4,524","5,227"
739,2015년08월,구로구,"4,487","5,276"
740,2015년09월,구로구,"4,034","4,810"
741,2015년10월,구로구,"5,126","5,904"
742,2015년11월,구로구,"5,006","5,700"
743,2015년12월,구로구,"4,667","5,678"
744,2016년01월,구로구,"4,011","4,340"
745,2016년02월,구로구,"4,893","5,255"
746,2016년03월,구로구,"4,914","5,078"
747,2016년04월,구로구,"4,176","4,767"
748,2016년05월,구로구,"4,634","4,909"
749,2016년06월,구로구,"4,464","4,759"
750,2016년07월,구로구,"3,980","4,527"
751,2016년08월,구로구,"4,708","5,822"
752,2016년09월,구로구,"4,318","5,062"
753,2016년10월,구로구,"4,766","5,650"
754,2016년11월,구로구,"4,794","5,538"
755,2016년12월,구로구,"4,710","5,851"
756,2017년01월,구로구,"3,975","4,307"
757,2017년02월,구로구,"5,107","5,872"
758,2017년03월,구로구,"4,966","5,351"
759,2017년04월,구로구,"3,971","4,519"
760,2017년05월,구로구,"4,429","5,229"
761,2017년06월,구로구,"3,994","4,530"
762,2017년07월,구로구,"3,829","4,353"
763,2017년08월,구로구,"4,156","5,195"
764,2017년09월,구로구,"4,227","5,204"
765,2017년10월,구로구,"3,754","4,457"
766,2017년11월,구로구,"3,952","4,835"
767,2017년12월,구로구,"3,717","4,820"
768,2018년01월,구로구,"4,082","5,095"
769,2018년02월,구로구,"4,225","5,513"
770,2018년03월,구로구,"5,656","5,985"
771,2018년04월,구로구,"4,205","4,816"
772,2018년05월,구로구,"4,451","4,903"
773,2018년06월,구로구,"3,818","4,182"
774,2018년07월,구로구,"3,767","4,247"
775,2018년08월,구로구,"3,980","4,530"
776,2018년09월,구로구,"3,104","3,543"
777,2018년10월,구로구,"4,820","5,456"
778,2018년11월,구로구,"4,756","5,428"
779,2018년12월,구로구,"4,244","4,845"
780,2014년01월,송파구,"8,954","7,183"
781,2014년02월,송파구,"12,341","10,518"
782,2014년03월,송파구,"9,278","9,965"
783,2014년04월,송파구,"8,367","9,558"
784,2014년05월,송파구,"7,991","8,799"
785,2014년06월,송파구,"7,150","7,925"
786,2014년07월,송파구,"7,207","8,202"
787,2014년08월,송파구,"7,099","8,622"
788,2014년09월,송파구,"7,121","8,208"
789,2014년10월,송파구,"8,258","10,045"
790,2014년11월,송파구,"7,637","8,786"
791,2014년12월,송파구,"8,320","9,679"
792,2015년01월,송파구,"7,394","7,832"
793,2015년02월,송파구,"9,183","9,245"
794,2015년03월,송파구,"10,411","10,612"
795,2015년04월,송파구,"8,747","9,335"
796,2015년05월,송파구,"8,373","8,832"
797,2015년06월,송파구,"8,556","9,319"
798,2015년07월,송파구,"7,980","9,004"
799,2015년08월,송파구,"8,145","8,995"
800,2015년09월,송파구,"6,914","7,758"
801,2015년10월,송파구,"8,430","9,684"
802,2015년11월,송파구,"8,562","9,782"
803,2015년12월,송파구,"9,299","10,948"
804,2016년01월,송파구,"8,050","8,797"
805,2016년02월,송파구,"9,659","11,843"
806,2016년03월,송파구,"8,715","10,291"
807,2016년04월,송파구,"7,463","8,420"
808,2016년05월,송파구,"7,781","8,808"
809,2016년06월,송파구,"7,659","8,349"
810,2016년07월,송파구,"7,480","7,766"
811,2016년08월,송파구,"9,371","10,085"
812,2016년09월,송파구,"8,393","8,620"
813,2016년10월,송파구,"10,931","10,247"
814,2016년11월,송파구,"10,392","9,640"
815,2016년12월,송파구,"9,841","9,869"
816,2017년01월,송파구,"8,991","7,937"
817,2017년02월,송파구,"13,113","11,852"
818,2017년03월,송파구,"9,694","9,930"
819,2017년04월,송파구,"7,826","8,325"
820,2017년05월,송파구,"8,658","8,493"
821,2017년06월,송파구,"7,968","7,721"
822,2017년07월,송파구,"7,936","7,811"
823,2017년08월,송파구,"9,695","9,570"
824,2017년09월,송파구,"8,099","8,634"
825,2017년10월,송파구,"9,771","8,845"
826,2017년11월,송파구,"9,781","9,270"
827,2017년12월,송파구,"9,340","8,766"
828,2018년01월,송파구,"9,146","8,768"
829,2018년02월,송파구,"9,695","9,653"
830,2018년03월,송파구,"9,836","10,013"
831,2018년04월,송파구,"8,273","8,474"
832,2018년05월,송파구,"8,182","8,153"
833,2018년06월,송파구,"8,317","7,728"
834,2018년07월,송파구,"8,104","7,682"
835,2018년08월,송파구,"7,939","8,114"
836,2018년09월,송파구,"5,900","6,383"
837,2018년10월,송파구,"9,018","9,357"
838,2018년11월,송파구,"8,160","8,692"
839,2018년12월,송파구,"8,490","8,469"
840,2014년01월,강남구,"7,806","7,731"
841,2014년02월,강남구,"11,261","10,765"
842,2014년03월,강남구,"10,666","10,176"
843,2014년04월,강남구,"9,816","8,626"
844,2014년05월,강남구,"9,556","8,369"
845,2014년06월,강남구,"7,692","7,358"
846,2014년07월,강남구,"9,781","8,590"
847,2014년08월,강남구,"10,340","8,426"
848,2014년09월,강남구,"8,983","7,990"
849,2014년10월,강남구,"10,106","8,928"
850,2014년11월,강남구,"9,280","8,025"
851,2014년12월,강남구,"10,619","9,428"
852,2015년01월,강남구,"9,034","8,464"
853,2015년02월,강남구,"10,399","10,042"
854,2015년03월,강남구,"9,810","11,548"
855,2015년04월,강남구,"8,496","9,887"
856,2015년05월,강남구,"7,472","8,891"
857,2015년06월,강남구,"8,317","9,221"
858,2015년07월,강남구,"10,167","9,233"
859,2015년08월,강남구,"8,812","9,026"
860,2015년09월,강남구,"7,123","8,080"
861,2015년10월,강남구,"10,409","9,955"
862,2015년11월,강남구,"8,921","9,424"
863,2015년12월,강남구,"9,577","10,752"
864,2016년01월,강남구,"7,970","8,625"
865,2016년02월,강남구,"10,421","11,346"
866,2016년03월,강남구,"8,360","10,605"
867,2016년04월,강남구,"6,944","8,535"
868,2016년05월,강남구,"7,392","8,718"
869,2016년06월,강남구,"7,381","8,236"
870,2016년07월,강남구,"7,276","8,120"
871,2016년08월,강남구,"8,715","9,512"
872,2016년09월,강남구,"7,318","8,088"
873,2016년10월,강남구,"7,656","8,325"
874,2016년11월,강남구,"7,807","9,208"
875,2016년12월,강남구,"8,118","9,631"
876,2017년01월,강남구,"7,503","7,745"
877,2017년02월,강남구,"10,970","11,638"
878,2017년03월,강남구,"8,254","9,334"
879,2017년04월,강남구,"6,328","7,153"
880,2017년05월,강남구,"7,028","7,986"
881,2017년06월,강남구,"6,743","7,551"
882,2017년07월,강남구,"7,238","7,825"
883,2017년08월,강남구,"8,684","9,719"
884,2017년09월,강남구,"6,963","8,556"
885,2017년10월,강남구,"6,490","7,962"
886,2017년11월,강남구,"6,781","8,749"
887,2017년12월,강남구,"7,492","9,149"
888,2018년01월,강남구,"8,175","8,896"
889,2018년02월,강남구,"9,841","10,708"
890,2018년03월,강남구,"8,627","10,540"
891,2018년04월,강남구,"7,327","9,271"
892,2018년05월,강남구,"7,419","9,974"
893,2018년06월,강남구,"6,607","8,523"
894,2018년07월,강남구,"7,161","8,431"
895,2018년08월,강남구,"7,901","8,748"
896,2018년09월,강남구,"5,850","6,811"
897,2018년10월,강남구,"7,801","8,285"
898,2018년11월,강남구,"6,679","7,964"
899,2018년12월,강남구,"8,223","8,651"
900,2014년01월,양천구,"4,494","5,007"
901,2014년02월,양천구,"6,643","7,163"
902,2014년03월,양천구,"5,874","6,417"
903,2014년04월,양천구,"5,651","6,002"
904,2014년05월,양천구,"5,060","5,484"
905,2014년06월,양천구,"4,597","5,708"
906,2014년07월,양천구,"4,891","6,380"
907,2014년08월,양천구,"4,947","6,084"
908,2014년09월,양천구,"4,446","5,051"
909,2014년10월,양천구,"5,640","6,303"
910,2014년11월,양천구,"4,823","5,152"
911,2014년12월,양천구,"5,436","6,021"
912,2015년01월,양천구,"5,018","4,873"
913,2015년02월,양천구,"5,858","6,072"
914,2015년03월,양천구,"5,933","6,371"
915,2015년04월,양천구,"5,195","5,514"
916,2015년05월,양천구,"5,421","5,697"
917,2015년06월,양천구,"5,419","6,012"
918,2015년07월,양천구,"5,774","6,075"
919,2015년08월,양천구,"5,736","5,970"
920,2015년09월,양천구,"4,665","5,160"
921,2015년10월,양천구,"5,855","6,265"
922,2015년11월,양천구,"6,150","6,262"
923,2015년12월,양천구,"5,565","6,353"
924,2016년01월,양천구,"4,659","5,082"
925,2016년02월,양천구,"6,233","6,901"
926,2016년03월,양천구,"4,827","5,769"
927,2016년04월,양천구,"4,374","5,175"
928,2016년05월,양천구,"5,394","6,030"
929,2016년06월,양천구,"5,863","6,147"
930,2016년07월,양천구,"5,323","5,689"
931,2016년08월,양천구,"6,563","6,919"
932,2016년09월,양천구,"5,184","5,808"
933,2016년10월,양천구,"5,784","6,823"
934,2016년11월,양천구,"5,624","7,110"
935,2016년12월,양천구,"5,557","6,951"
936,2017년01월,양천구,"4,654","5,131"
937,2017년02월,양천구,"6,577","7,394"
938,2017년03월,양천구,"5,054","5,922"
939,2017년04월,양천구,"4,107","4,642"
940,2017년05월,양천구,"4,251","5,258"
941,2017년06월,양천구,"4,218","4,768"
942,2017년07월,양천구,"4,159","4,561"
943,2017년08월,양천구,"5,044","5,670"
944,2017년09월,양천구,"4,229","5,021"
945,2017년10월,양천구,"4,027","4,458"
946,2017년11월,양천구,"4,110","4,808"
947,2017년12월,양천구,"4,367","5,096"
948,2018년01월,양천구,"4,554","5,093"
949,2018년02월,양천구,"5,706","6,150"
950,2018년03월,양천구,"4,959","6,077"
951,2018년04월,양천구,"4,040","4,769"
952,2018년05월,양천구,"4,071","4,984"
953,2018년06월,양천구,"3,975","4,628"
954,2018년07월,양천구,"4,470","4,987"
955,2018년08월,양천구,"4,910","5,425"
956,2018년09월,양천구,"3,611","3,834"
957,2018년10월,양천구,"5,084","5,735"
958,2018년11월,양천구,"4,619","5,370"
959,2018년12월,양천구,"4,580","5,362"
960,2014년01월,도봉구,"3,037","3,420"
961,2014년02월,도봉구,"4,051","4,693"
962,2014년03월,도봉구,"4,344","4,428"
963,2014년04월,도봉구,"4,152","4,588"
964,2014년05월,도봉구,"4,033","4,601"
965,2014년06월,도봉구,"3,707","4,103"
966,2014년07월,도봉구,"3,467","4,109"
967,2014년08월,도봉구,"3,428","3,815"
968,2014년09월,도봉구,"3,397","3,977"
969,2014년10월,도봉구,"4,397","4,964"
970,2014년11월,도봉구,"3,832","4,302"
971,2014년12월,도봉구,"3,813","4,552"
972,2015년01월,도봉구,"3,203","3,495"
973,2015년02월,도봉구,"3,338","3,545"
974,2015년03월,도봉구,"4,602","4,756"
975,2015년04월,도봉구,"4,376","4,338"
976,2015년05월,도봉구,"4,530","4,664"
977,2015년06월,도봉구,"4,474","4,729"
978,2015년07월,도봉구,"4,235","4,511"
979,2015년08월,도봉구,"4,081","4,550"
980,2015년09월,도봉구,"3,706","4,006"
981,2015년10월,도봉구,"4,405","4,876"
982,2015년11월,도봉구,"4,100","4,654"
983,2015년12월,도봉구,"3,911","4,336"
984,2016년01월,도봉구,"3,091","3,302"
985,2016년02월,도봉구,"3,604","4,001"
986,2016년03월,도봉구,"4,033","4,296"
987,2016년04월,도봉구,"3,491","3,749"
988,2016년05월,도봉구,"4,017","4,078"
989,2016년06월,도봉구,"3,684","3,924"
990,2016년07월,도봉구,"3,192","3,747"
991,2016년08월,도봉구,"3,996","4,377"
992,2016년09월,도봉구,"3,607","3,882"
993,2016년10월,도봉구,"4,256","4,356"
994,2016년11월,도봉구,"4,116","4,546"
995,2016년12월,도봉구,"3,749","4,349"
996,2017년01월,도봉구,"2,818","3,186"
997,2017년02월,도봉구,"3,467","4,015"
998,2017년03월,도봉구,"3,660","4,389"
999,2017년04월,도봉구,"3,193","3,689"
1000,2017년05월,도봉구,"3,687","3,935"
1001,2017년06월,도봉구,"3,503","3,543"
1002,2017년07월,도봉구,"3,538","3,694"
1003,2017년08월,도봉구,"3,765","3,926"
1004,2017년09월,도봉구,"3,582","3,992"
1005,2017년10월,도봉구,"3,522","3,667"
1006,2017년11월,도봉구,"3,466","3,761"
1007,2017년12월,도봉구,"2,764","3,463"
1008,2018년01월,도봉구,"2,872","3,152"
1009,2018년02월,도봉구,"2,994","3,432"
1010,2018년03월,도봉구,"3,602","4,131"
1011,2018년04월,도봉구,"3,363","3,717"
1012,2018년05월,도봉구,"3,844","4,152"
1013,2018년06월,도봉구,"3,150","3,451"
1014,2018년07월,도봉구,"3,085","3,386"
1015,2018년08월,도봉구,"3,308","3,660"
1016,2018년09월,도봉구,"2,631","3,031"
1017,2018년10월,도봉구,"3,819","4,351"
1018,2018년11월,도봉구,"3,631","4,165"
1019,2018년12월,도봉구,"3,219","3,585"
1020,2014년01월,동작구,"4,934","5,173"
1021,2014년02월,동작구,"6,930","6,719"
1022,2014년03월,동작구,"6,335","6,445"
1023,2014년04월,동작구,"5,592","5,874"
1024,2014년05월,동작구,"5,574","5,614"
1025,2014년06월,동작구,"4,793","5,373"
1026,2014년07월,동작구,"4,792","5,427"
1027,2014년08월,동작구,"4,600","5,297"
1028,2014년09월,동작구,"4,356","5,090"
1029,2014년10월,동작구,"5,375","6,358"
1030,2014년11월,동작구,"4,636","5,435"
1031,2014년12월,동작구,"5,374","6,312"
1032,2015년01월,동작구,"4,830","5,157"
1033,2015년02월,동작구,"6,001","6,425"
1034,2015년03월,동작구,"7,086","6,861"
1035,2015년04월,동작구,"5,979","6,310"
1036,2015년05월,동작구,"5,464","5,944"
1037,2015년06월,동작구,"5,547","6,475"
1038,2015년07월,동작구,"5,283","6,389"
1039,2015년08월,동작구,"5,471","6,884"
1040,2015년09월,동작구,"4,834","6,170"
1041,2015년10월,동작구,"5,430","6,815"
1042,2015년11월,동작구,"5,273","6,260"
1043,2015년12월,동작구,"5,496","6,406"
1044,2016년01월,동작구,"4,948","5,141"
1045,2016년02월,동작구,"6,883","6,789"
1046,2016년03월,동작구,"6,197","5,995"
1047,2016년04월,동작구,"5,004","4,980"
1048,2016년05월,동작구,"5,292","5,246"
1049,2016년06월,동작구,"5,126","5,077"
1050,2016년07월,동작구,"4,357","4,696"
1051,2016년08월,동작구,"5,583","5,741"
1052,2016년09월,동작구,"5,575","5,498"
1053,2016년10월,동작구,"6,140","6,323"
1054,2016년11월,동작구,"5,630","6,165"
1055,2016년12월,동작구,"5,690","6,592"
1056,2017년01월,동작구,"4,982","5,385"
1057,2017년02월,동작구,"7,118","7,309"
1058,2017년03월,동작구,"6,086","6,248"
1059,2017년04월,동작구,"4,626","5,118"
1060,2017년05월,동작구,"5,168","5,795"
1061,2017년06월,동작구,"4,664","4,995"
1062,2017년07월,동작구,"4,639","4,903"
1063,2017년08월,동작구,"5,542","5,923"
1064,2017년09월,동작구,"4,575","5,138"
1065,2017년10월,동작구,"4,278","4,997"
1066,2017년11월,동작구,"4,625","5,533"
1067,2017년12월,동작구,"4,646","5,634"
1068,2018년01월,동작구,"5,206","5,966"
1069,2018년02월,동작구,"6,138","6,829"
1070,2018년03월,동작구,"6,135","6,782"
1071,2018년04월,동작구,"5,041","5,249"
1072,2018년05월,동작구,"5,617","5,385"
1073,2018년06월,동작구,"5,112","4,977"
1074,2018년07월,동작구,"5,081","4,820"
1075,2018년08월,동작구,"5,408","5,137"
1076,2018년09월,동작구,"4,125","4,180"
1077,2018년10월,동작구,"5,504","5,867"
1078,2018년11월,동작구,"5,362","5,396"
1079,2018년12월,동작구,"6,370","5,517"
1080,2014년01월,성동구,"2,902","3,224"
1081,2014년02월,성동구,"4,431","4,697"
1082,2014년03월,성동구,"4,913","4,685"
1083,2014년04월,성동구,"4,504","4,428"
1084,2014년05월,성동구,"4,023","4,219"
1085,2014년06월,성동구,"3,494","3,810"
1086,2014년07월,성동구,"3,631","4,048"
1087,2014년08월,성동구,"3,196","3,948"
1088,2014년09월,성동구,"3,450","4,061"
1089,2014년10월,성동구,"4,301","5,221"
1090,2014년11월,성동구,"3,874","4,448"
1091,2014년12월,성동구,"3,802","4,560"
1092,2015년01월,성동구,"3,555","3,807"
1093,2015년02월,성동구,"3,941","4,186"
1094,2015년03월,성동구,"4,717","4,887"
1095,2015년04월,성동구,"4,153","4,053"
1096,2015년05월,성동구,"5,354","4,400"
1097,2015년06월,성동구,"4,875","4,177"
1098,2015년07월,성동구,"3,757","3,839"
1099,2015년08월,성동구,"3,859","4,036"
1100,2015년09월,성동구,"3,329","3,406"
1101,2015년10월,성동구,"3,781","4,258"
1102,2015년11월,성동구,"3,342","3,914"
1103,2015년12월,성동구,"3,442","4,128"
1104,2016년01월,성동구,"2,980","3,182"
1105,2016년02월,성동구,"4,080","4,406"
1106,2016년03월,성동구,"3,882","4,152"
1107,2016년04월,성동구,"3,374","3,457"
1108,2016년05월,성동구,"4,204","3,747"
1109,2016년06월,성동구,"4,061","3,870"
1110,2016년07월,성동구,"3,280","3,366"
1111,2016년08월,성동구,"4,131","4,180"
1112,2016년09월,성동구,"3,327","3,596"
1113,2016년10월,성동구,"3,534","4,322"
1114,2016년11월,성동구,"4,401","4,255"
1115,2016년12월,성동구,"6,375","4,453"
1116,2017년01월,성동구,"5,362","3,656"
1117,2017년02월,성동구,"6,412","4,956"
1118,2017년03월,성동구,"5,029","4,313"
1119,2017년04월,성동구,"3,564","3,459"
1120,2017년05월,성동구,"3,901","3,787"
1121,2017년06월,성동구,"3,654","3,504"
1122,2017년07월,성동구,"3,649","3,569"
1123,2017년08월,성동구,"4,631","4,207"
1124,2017년09월,성동구,"3,916","3,920"
1125,2017년10월,성동구,"3,282","3,448"
1126,2017년11월,성동구,"3,548","3,613"
1127,2017년12월,성동구,"3,468","3,599"
1128,2018년01월,성동구,"3,948","3,863"
1129,2018년02월,성동구,"4,560","4,361"
1130,2018년03월,성동구,"6,307","5,065"
1131,2018년04월,성동구,"4,940","4,101"
1132,2018년05월,성동구,"4,012","3,955"
1133,2018년06월,성동구,"3,758","3,400"
1134,2018년07월,성동구,"4,322","4,011"
1135,2018년08월,성동구,"4,286","3,861"
1136,2018년09월,성동구,"3,283","3,156"
1137,2018년10월,성동구,"4,428","4,623"
1138,2018년11월,성동구,"3,874","4,345"
1139,2018년12월,성동구,"3,640","4,271"
1140,2014년01월,성북구,"4,752","5,087"
1141,2014년02월,성북구,"6,930","7,218"
1142,2014년03월,성북구,"6,366","6,762"
1143,2014년04월,성북구,"5,518","6,345"
1144,2014년05월,성북구,"5,364","6,199"
1145,2014년06월,성북구,"5,353","6,672"
1146,2014년07월,성북구,"5,150","6,363"
1147,2014년08월,성북구,"4,831","6,084"
1148,2014년09월,성북구,"4,793","5,835"
1149,2014년10월,성북구,"5,415","6,805"
1150,2014년11월,성북구,"5,126","6,255"
1151,2014년12월,성북구,"5,484","6,896"
1152,2015년01월,성북구,"4,844","5,329"
1153,2015년02월,성북구,"6,240","6,371"
1154,2015년03월,성북구,"7,160","7,478"
1155,2015년04월,성북구,"5,490","6,417"
1156,2015년05월,성북구,"5,873","6,794"
1157,2015년06월,성북구,"6,132","6,884"
1158,2015년07월,성북구,"5,539","6,414"
1159,2015년08월,성북구,"5,322","6,186"
1160,2015년09월,성북구,"4,491","5,337"
1161,2015년10월,성북구,"5,476","6,412"
1162,2015년11월,성북구,"4,990","6,075"
1163,2015년12월,성북구,"5,247","6,516"
1164,2016년01월,성북구,"4,288","4,788"
1165,2016년02월,성북구,"6,122","6,384"
1166,2016년03월,성북구,"5,938","6,310"
1167,2016년04월,성북구,"4,500","5,079"
1168,2016년05월,성북구,"4,666","5,485"
1169,2016년06월,성북구,"4,620","5,378"
1170,2016년07월,성북구,"4,497","5,695"
1171,2016년08월,성북구,"5,529","6,768"
1172,2016년09월,성북구,"4,565","5,601"
1173,2016년10월,성북구,"5,168","6,108"
1174,2016년11월,성북구,"4,996","6,155"
1175,2016년12월,성북구,"5,111","6,645"
1176,2017년01월,성북구,"4,756","5,506"
1177,2017년02월,성북구,"7,900","7,670"
1178,2017년03월,성북구,"6,574","6,712"
1179,2017년04월,성북구,"4,541","5,089"
1180,2017년05월,성북구,"4,806","5,403"
1181,2017년06월,성북구,"4,415","5,094"
1182,2017년07월,성북구,"4,078","4,562"
1183,2017년08월,성북구,"5,096","5,647"
1184,2017년09월,성북구,"4,965","5,837"
1185,2017년10월,성북구,"4,393","5,310"
1186,2017년11월,성북구,"5,007","5,859"
1187,2017년12월,성북구,"4,754","5,532"
1188,2018년01월,성북구,"4,780","5,520"
1189,2018년02월,성북구,"5,843","6,306"
1190,2018년03월,성북구,"5,811","6,424"
1191,2018년04월,성북구,"4,564","5,173"
1192,2018년05월,성북구,"4,534","5,250"
1193,2018년06월,성북구,"4,420","5,137"
1194,2018년07월,성북구,"4,410","5,402"
1195,2018년08월,성북구,"4,898","5,594"
1196,2018년09월,성북구,"3,645","4,228"
1197,2018년10월,성북구,"5,097","5,931"
1198,2018년11월,성북구,"4,764","5,466"
1199,2018년12월,성북구,"4,381","5,046"
1200,2014년01월,마포구,"4,334","4,470"
1201,2014년02월,마포구,"5,980","6,245"
1202,2014년03월,마포구,"6,218","6,144"
1203,2014년04월,마포구,"5,491","5,674"
1204,2014년05월,마포구,"5,221","5,442"
1205,2014년06월,마포구,"4,261","5,094"
1206,2014년07월,마포구,"4,686","5,565"
1207,2014년08월,마포구,"5,072","5,495"
1208,2014년09월,마포구,"4,586","4,900"
1209,2014년10월,마포구,"7,789","6,071"
1210,2014년11월,마포구,"7,979","5,873"
1211,2014년12월,마포구,"7,236","6,173"
1212,2015년01월,마포구,"6,298","5,205"
1213,2015년02월,마포구,"7,242","6,158"
1214,2015년03월,마포구,"7,564","7,468"
1215,2015년04월,마포구,"6,018","5,942"
1216,2015년05월,마포구,"6,546","5,779"
1217,2015년06월,마포구,"6,113","6,045"
1218,2015년07월,마포구,"5,485","5,706"
1219,2015년08월,마포구,"5,335","5,733"
1220,2015년09월,마포구,"4,728","4,995"
1221,2015년10월,마포구,"5,592","6,160"
1222,2015년11월,마포구,"5,280","6,552"
1223,2015년12월,마포구,"5,283","6,511"
1224,2016년01월,마포구,"4,622","5,146"
1225,2016년02월,마포구,"6,165","6,376"
1226,2016년03월,마포구,"6,400","6,902"
1227,2016년04월,마포구,"5,298","6,276"
1228,2016년05월,마포구,"5,175","6,001"
1229,2016년06월,마포구,"5,027","5,934"
1230,2016년07월,마포구,"4,479","5,177"
1231,2016년08월,마포구,"5,179","6,184"
1232,2016년09월,마포구,"4,735","5,632"
1233,2016년10월,마포구,"5,008","6,279"
1234,2016년11월,마포구,"5,402","6,481"
1235,2016년12월,마포구,"5,152","6,405"
1236,2017년01월,마포구,"4,518","5,162"
1237,2017년02월,마포구,"6,713","7,214"
1238,2017년03월,마포구,"5,749","6,240"
1239,2017년04월,마포구,"4,821","5,060"
1240,2017년05월,마포구,"4,822","5,150"
1241,2017년06월,마포구,"4,474","4,958"
