,기간,자치구,총전입,총전출
126,2014년07월,중랑구,"6,463","6,007"
127,2014년08월,중랑구,"5,777","5,173"
128,2014년09월,중랑구,"4,821","4,972"
129,2014년10월,중랑구,"5,759","5,975"
130,2014년11월,중랑구,"4,987","5,147"
131,2014년12월,중랑구,"5,153","5,752"
132,2015년01월,중랑구,"4,025","4,401"
133,2015년02월,중랑구,"4,208","4,633"
134,2015년03월,중랑구,"6,331","6,623"
135,2015년04월,중랑구,"6,492","6,354"
136,2015년05월,중랑구,"5,903","6,127"
137,2015년06월,중랑구,"6,073","6,690"
138,2015년07월,중랑구,"5,320","6,237"
139,2015년08월,중랑구,"5,114","6,174"
140,2015년09월,중랑구,"4,742","5,648"
141,2015년10월,중랑구,"5,823","6,711"
142,2015년11월,중랑구,"5,663","6,074"
143,2015년12월,중랑구,"4,944","5,612"
144,2016년01월,중랑구,"3,976","4,112"
145,2016년02월,중랑구,"4,952","5,239"
146,2016년03월,중랑구,"5,744","5,928"
147,2016년04월,중랑구,"5,061","5,156"
148,2016년05월,중랑구,"5,222","5,368"
149,2016년06월,중랑구,"5,132","5,469"
150,2016년07월,중랑구,"4,562","5,129"
151,2016년08월,중랑구,"5,376","6,039"
152,2016년09월,중랑구,"4,668","4,988"
153,2016년10월,중랑구,"5,594","5,926"
154,2016년11월,중랑구,"5,248","5,692"
155,2016년12월,중랑구,"5,031","5,777"
156,2017년01월,중랑구,"3,785","4,134"
157,2017년02월,중랑구,"4,674","5,053"
158,2017년03월,중랑구,"5,161","5,706"
159,2017년04월,중랑구,"4,605","4,822"
160,2017년05월,중랑구,"5,059","5,150"
161,2017년06월,중랑구,"5,568","5,112"
162,2017년07월,중랑구,"4,677","4,454"
163,2017년08월,중랑구,"4,882","5,061"
164,2017년09월,중랑구,"4,828","5,246"
165,2017년10월,중랑구,"4,700","5,097"
166,2017년11월,중랑구,"4,654","5,415"
167,2017년12월,중랑구,"3,792","4,697"
168,2018년01월,중랑구,"3,986","4,532"
169,2018년02월,중랑구,"4,150","4,757"
170,2018년03월,중랑구,"5,317","5,610"
171,2018년04월,중랑구,"5,076","5,493"
172,2018년05월,중랑구,"4,925","5,354"
173,2018년06월,중랑구,"4,454","5,044"
174,2018년07월,중랑구,"4,406","4,875"
175,2018년08월,중랑구,"4,274","4,776"
176,2018년09월,중랑구,"3,340","3,760"
177,2018년10월,중랑구,"5,067","5,502"
178,2018년11월,중랑구,"4,848","5,234"
179,2018년12월,중랑구,"4,325","4,679"
180,2014년01월,영등포구,"4,104","4,485"
181,2014년02월,영등포구,"5,813","6,448"
182,2014년03월,영등포구,"5,997","5,999"
183,2014년04월,영등포구,"6,001","6,141"
184,2014년05월,영등포구,"5,270","5,551"
185,2014년06월,영등포구,"4,732","5,318"
186,2014년07월,영등포구,"4,469","5,283"
187,2014년08월,영등포구,"4,177","5,073"
188,2014년09월,영등포구,"4,076","4,695"
189,2014년10월,영등포구,"5,036","5,813"
190,2014년11월,영등포구,"4,264","5,114"
191,2014년12월,영등포구,"5,118","5,742"
192,2015년01월,영등포구,"4,744","4,591"
193,2015년02월,영등포구,"5,011","5,323"
194,2015년03월,영등포구,"5,967","6,295"
195,2015년04월,영등포구,"5,257","5,633"
196,2015년05월,영등포구,"4,679","5,369"
197,2015년06월,영등포구,"4,852","5,597"
198,2015년07월,영등포구,"4,820","5,416"
199,2015년08월,영등포구,"4,556","5,256"
200,2015년09월,영등포구,"3,973","4,570"
201,2015년10월,영등포구,"4,934","5,932"
202,2015년11월,영등포구,"4,786","5,585"
203,2015년12월,영등포구,"5,357","6,111"
204,2016년01월,영등포구,"5,317","5,453"
205,2016년02월,영등포구,"6,625","6,810"
206,2016년03월,영등포구,"5,988","6,321"
207,2016년04월,영등포구,"4,756","5,123"
208,2016년05월,영등포구,"4,838","5,422"
209,2016년06월,영등포구,"4,387","5,469"
210,2016년07월,영등포구,"4,406","5,491"
211,2016년08월,영등포구,"5,489","6,760"
212,2016년09월,영등포구,"4,664","6,151"
213,2016년10월,영등포구,"5,043","6,400"
214,2016년11월,영등포구,"4,925","6,153"
215,2016년12월,영등포구,"4,870","6,232"
216,2017년01월,영등포구,"4,322","5,051"
217,2017년02월,영등포구,"5,964","7,087"
218,2017년03월,영등포구,"5,349","6,210"
219,2017년04월,영등포구,"5,288","5,485"
220,2017년05월,영등포구,"6,902","6,051"
221,2017년06월,영등포구,"4,851","4,810"
222,2017년07월,영등포구,"4,830","5,122"
223,2017년08월,영등포구,"4,958","5,473"
224,2017년09월,영등포구,"5,563","5,523"
225,2017년10월,영등포구,"4,820","4,702"
226,2017년11월,영등포구,"4,822","4,961"
227,2017년12월,영등포구,"4,953","5,564"
228,2018년01월,영등포구,"5,738","5,539"
229,2018년02월,영등포구,"6,010","6,016"
230,2018년03월,영등포구,"6,581","6,581"
231,2018년04월,영등포구,"5,120","5,198"
232,2018년05월,영등포구,"4,924","5,003"
233,2018년06월,영등포구,"4,237","4,588"
234,2018년07월,영등포구,"4,557","4,922"
235,2018년08월,영등포구,"4,566","4,785"
236,2018년09월,영등포구,"3,759","3,935"
237,2018년10월,영등포구,"5,043","5,465"
238,2018년11월,영등포구,"4,668","5,145"
239,2018년12월,영등포구,"4,659","4,931"
240,2014년01월,동대문구,"3,445","3,764"
241,2014년02월,동대문구,"5,211","5,577"
242,2014년03월,동대문구,"4,895","5,172"
243,2014년04월,동대문구,"4,492","4,904"
244,2014년05월,동대문구,"4,333","4,793"
245,2014년06월,동대문구,"4,215","4,826"
246,2014년07월,동대문구,"4,096","4,740"
247,2014년08월,동대문구,"3,876","4,415"
248,2014년09월,동대문구,"6,211","5,251"
249,2014년10월,동대문구,"6,853","5,989"
250,2014년11월,동대문구,"5,276","5,028"
251,2014년12월,동대문구,"5,012","5,199"
252,2015년01월,동대문구,"4,255","4,560"
253,2015년02월,동대문구,"5,141","5,096"
254,2015년03월,동대문구,"6,421","6,362"
255,2015년04월,동대문구,"5,102","5,353"
256,2015년05월,동대문구,"4,427","4,923"
257,2015년06월,동대문구,"4,633","5,391"
258,2015년07월,동대문구,"4,461","5,124"
259,2015년08월,동대문구,"4,734","5,221"
260,2015년09월,동대문구,"3,911","4,403"
261,2015년10월,동대문구,"4,545","4,963"
262,2015년11월,동대문구,"4,244","4,806"
263,2015년12월,동대문구,"4,116","4,715"
264,2016년01월,동대문구,"3,664","3,902"
265,2016년02월,동대문구,"5,016","5,255"
266,2016년03월,동대문구,"5,020","5,170"
267,2016년04월,동대문구,"3,839","4,288"
268,2016년05월,동대문구,"3,896","4,543"
269,2016년06월,동대문구,"3,812","4,634"
270,2016년07월,동대문구,"3,618","4,267"
271,2016년08월,동대문구,"4,083","4,781"
272,2016년09월,동대문구,"3,725","4,140"
273,2016년10월,동대문구,"4,468","4,924"
274,2016년11월,동대문구,"4,206","4,750"
275,2016년12월,동대문구,"4,244","4,968"
