과세유형별(1),시도?업태별(1),시도?업태별(2),2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017
과세유형별(1),시도?업태별(1),시도?업태별(2),총계,사업부진,행정처분,계절사업,법인전환,면세포기·적용,제적,해산·합병,기타,총계,사업부진,행정처분,계절사업,법인전환,면세포기·적용,양도·양수,해산·합병,기타,총계,사업부진,행정처분,계절사업,법인전환,면세포기·적용,양도·양수,해산·합병,기타,총계,사업부진,행정처분,계절사업,법인전환,면세포기·적용,양도·양수,해산·합병,기타,총계,사업부진,행정처분,계절사업,법인전환,면세포기·적용,양도·양수,해산·합병,기타,총계,사업부진,행정처분,계절사업,법인전환,면세포기·적용,양도·양수,해산·합병,기타,총계,사업부진,행정처분,계절사업,법인전환,면세포기·적용,양도·양수,해산·합병,기타,총계,사업부진,행정처분,계절사업,법인전환,면세포기·적용,양도·양수,해산·합병,기타
일반사업자,지역별,서울,102152,52758,385,66,1390,-,1,23,47529,105868,49825,346,47,1320,3,5460,77,48790,109754,46955,484,41,1521,5,4467,123,56158,108331,48473,201,47,1350,16,4485,166,53593,101439,45369,132,35,1341,21,4518,141,49882,99875,41798,277,56,1257,61,5222,98,51106,117742,46700,471,75,1432,217,5879,90,62878,113105,45441,499,76,1353,90,6317,77,59252
일반사업자,업태별,소계,411841,211656,1435,250,4003,-,5,77,194415,441001,206346,2062,199,4268,14,18607,244,209261,456820,196102,2595,204,5020,61,15996,500,236342,458827,198434,2011,179,4258,58,16392,643,236852,436130,189124,1013,181,4461,67,17928,807,222549,433952,177355,1481,227,4321,177,20646,371,229374,504935,196762,2620,309,4529,420,25248,478,274569,501109,192697,2529,376,4568,257,27298,476,272908
일반사업자,업태별,음식업,79429,44872,128,52,98,-,-,5,34274,84278,43952,160,44,92,-,2596,34,37400,84052,41552,180,36,184,-,2338,69,39693,84473,42219,158,25,163,-,2493,119,39296,83091,41085,89,26,204,1,2295,117,39274,86931,41271,119,50,221,-,2747,79,42444,97508,45813,133,57,237,1,3361,91,47815,97731,44786,172,69,288,-,3758,102,48556
일반사업자,업태별,숙박업,2118,796,4,1,7,-,-,-,1310,2409,812,2,3,3,-,271,-,1318,2593,822,3,2,3,-,288,5,1470,2781,926,10,-,6,-,269,9,1561,2874,868,4,-,3,-,273,13,1713,3287,975,1,1,7,-,403,11,1889,3762,997,7,2,11,-,465,12,2268,3632,972,6,5,6,-,463,11,2169
일반사업자,업태별,대리·중개·도급업,8687,4577,17,7,32,-,-,2,4052,9859,4474,28,4,33,-,47,2,5271,11303,4742,37,9,25,-,58,2,6430,13010,5297,25,4,42,-,51,7,7584,11173,4977,21,9,37,-,39,7,6083,11102,4842,21,5,42,-,43,4,6145,13066,5465,57,17,47,3,53,6,7418,13208,5568,57,10,60,1,53,6,7453
일반사업자,업태별,서비스업,60460,33157,251,53,1093,-,2,16,25888,66735,32858,336,52,1004,3,1522,37,30923,70265,30482,476,53,1118,5,1402,47,36682,68304,30933,307,40,1021,2,1402,66,34533,64273,30485,138,48,1121,12,1564,74,30831,64863,28881,252,67,1141,16,1523,37,32946,76801,32876,470,69,1269,14,1988,71,40044,81467,34335,507,79,1284,22,2306,62,42872
간이사업자,합계,소계,311096,160223,935,309,193,-,2,34,149400,316753,146578,1271,258,155,5,4366,52,164068,291560,125656,1041,248,158,5,3319,176,160957,260690,117449,704,209,153,1,3400,216,138558,244474,110159,280,236,171,21,3539,230,129838,233772,101358,302,207,236,22,4014,149,127484,252342,104830,679,266,274,56,4360,249,141628,254290,101453,1138,351,308,30,4689,245,146076
간이사업자,지역별,소계,311096,160223,935,309,193,-,2,34,149400,316753,146578,1271,258,155,5,4366,52,164068,291560,125656,1041,248,158,5,3319,176,160957,260690,117449,704,209,153,1,3400,216,138558,244474,110159,280,236,171,21,3539,230,129838,233772,101358,302,207,236,22,4014,149,127484,252342,104830,679,266,274,56,4360,249,141628,254290,101453,1138,351,308,30,4689,245,146076
간이사업자,지역별,서울,56329,28782,282,46,41,-,-,7,27171,54826,25098,184,25,40,-,1028,8,28443,50491,21255,108,14,28,1,736,39,28310,44892,21318,39,36,42,-,836,45,22576,42751,19702,28,29,41,2,762,27,22160,41778,17893,50,24,47,5,807,24,22928,43962,18906,160,43,80,12,800,35,23926,43456,18080,238,59,77,3,919,26,24054
간이사업자,업태별,소계,311096,160223,935,309,193,-,2,34,149400,316753,146578,1271,258,155,5,4366,52,164068,291560,125656,1041,248,158,5,3319,176,160957,260690,117449,704,209,153,1,3400,216,138558,244474,110159,280,236,171,21,3539,230,129838,233772,101358,302,207,236,22,4014,149,127484,252342,104830,679,266,274,56,4360,249,141628,254290,101453,1138,351,308,30,4689,245,146076
간이사업자,업태별,음식업,96603,56469,130,91,26,-,-,5,39882,94045,50660,201,91,24,-,878,12,42179,83122,42883,163,96,24,-,643,46,39267,74404,38938,119,60,17,-,654,54,34562,73362,38288,56,77,19,1,654,62,34205,65592,33083,41,53,36,-,684,41,31654,68203,33586,85,81,28,2,828,64,33529,65304,30707,154,109,43,2,911,63,33315
간이사업자,업태별,숙박업,3253,1358,4,5,-,-,-,-,1886,3312,1325,8,5,-,-,122,-,1852,3144,1164,7,6,2,-,106,1,1858,3113,1199,9,3,2,-,89,5,1806,2992,1149,2,-,3,-,90,6,1742,3133,1196,3,1,4,-,101,8,1820,3413,1121,6,8,2,1,119,8,2148,3417,1137,5,4,1,-,143,10,2117
간이사업자,업태별,대리·중개·도급업,332,156,1,1,3,-,-,-,171,361,162,2,-,1,-,6,-,190,388,153,1,-,-,1,2,-,231,359,172,2,-,-,-,-,-,185,282,128,-,-,-,1,1,-,152,378,183,-,-,1,-,4,-,190,430,198,3,1,-,2,-,-,226,464,214,3,-,-,1,2,-,244
간이사업자,업태별,서비스업,67349,37503,266,64,63,-,-,4,29449,68596,33519,323,49,59,1,656,8,33981,62298,27451,233,30,57,1,505,19,34002,55033,25844,165,34,49,-,455,30,28456,49046,22775,73,35,46,10,432,32,25643,47634,21294,81,33,76,9,464,32,25645,52147,22243,167,46,100,22,599,45,28925,55006,22695,263,73,119,12,669,52,31123
면세사업자,합계,소계,82569,40816,242,72,525,105,-,19,40790,87481,37854,222,53,682,125,1164,27,47354,84815,33841,193,57,628,134,1058,43,48861,85811,33836,226,61,521,88,1086,70,49923,80724,30214,128,67,465,95,939,53,48763,71696,27024,128,63,405,115,1029,42,42890,82325,29382,294,89,480,163,1359,65,50493,82315,28625,241,111,467,143,1501,84,51143
면세사업자,지역별,소계,82569,40816,242,72,525,105,-,19,40790,87481,37854,222,53,682,125,1164,27,47354,84815,33841,193,57,628,134,1058,43,48861,85811,33836,226,61,521,88,1086,70,49923,80724,30214,128,67,465,95,939,53,48763,71696,27024,128,63,405,115,1029,42,42890,82325,29382,294,89,480,163,1359,65,50493,82315,28625,241,111,467,143,1501,84,51143
면세사업자,지역별,서울,17306,8339,56,12,218,29,-,7,8645,18691,7653,57,7,204,30,330,7,10403,17236,6602,24,4,190,32,272,12,10100,18670,7408,114,6,174,20,318,14,10616,17240,6126,29,6,165,20,242,12,10640,15243,5318,41,1,146,25,295,12,9405,17121,5736,58,9,158,35,372,17,10736,16773,5647,38,9,138,40,417,21,10463
면세사업자,업태별,소계,82569,40816,242,72,525,105,-,19,40790,87481,37854,222,53,682,125,1164,27,47354,84815,33841,193,57,628,134,1058,43,48861,85811,33836,226,61,521,88,1086,70,49923,80724,30214,128,67,465,95,939,53,48763,71696,27024,128,63,405,115,1029,42,42890,82325,29382,294,89,480,163,1359,65,50493,82315,28625,241,111,467,143,1501,84,51143
면세사업자,업태별,음식업,33,7,1,-,-,-,-,-,25,29,9,1,-,1,-,-,-,18,23,7,-,-,-,-,-,-,16,15,2,-,-,-,-,-,-,13,17,8,-,-,-,-,-,-,9,30,3,-,-,-,-,-,-,27,13,2,-,-,-,-,-,-,11,22,4,-,-,1,-,-,-,17
면세사업자,업태별,숙박업,20,2,-,-,1,-,-,-,17,23,6,-,-,-,-,-,-,17,20,6,1,-,-,-,-,-,13,20,2,-,-,-,-,1,-,17,21,5,-,-,-,2,-,-,14,18,4,-,-,-,-,-,-,14,37,5,-,-,-,-,1,-,31,28,8,-,-,1,1,-,-,18
면세사업자,업태별,대리·중개·도급업,423,207,2,1,2,-,-,-,211,542,240,1,-,4,1,1,-,295,563,232,-,-,8,1,4,-,318,671,300,-,3,5,-,3,-,360,649,262,2,2,7,-,3,-,373,662,271,-,3,2,2,3,1,380,895,351,5,6,9,1,6,-,517,1027,425,4,4,6,4,5,-,579
면세사업자,업태별,서비스업,43066,22726,150,14,286,43,-,10,19837,47343,20825,148,3,432,68,795,18,25054,45435,18882,128,13,336,62,729,34,25251,45237,18753,170,14,275,48,720,35,25222,41346,15697,70,5,211,54,599,23,24687,33429,14052,55,7,176,52,594,24,18469,36292,14841,107,12,216,72,714,30,20300,36090,14622,77,20,216,59,705,39,20352
