기간,자치구,동,합계,,,자영업주 및 무급가족,,상용근로자,,임시 및 일용근로자,,기타 종사자,
기간,자치구,동,사업체수,총종사자수,여성종사자수,소계,여성종사자수,소계,여성종사자수,소계,여성종사자수,소계,여성종사자수
2011,성동구,성수2가3동,"4,212","40,313","13,522","3,054",905,"32,670","10,807","3,499","1,472","1,090",338
2011,성동구,송정동,695,"2,471",951,721,237,"1,589",649,111,53,50,12
2011,성동구,용답동,"1,989","11,460","3,727","1,835",633,"7,789","2,118",815,415,"1,021",561
2011,성동구,왕십리도선동,"1,546","8,652","4,209","1,648",673,"4,555","2,015",881,601,"1,568",920
2011,성동구,금호2.3가동,913,"2,400","1,284","1,110",566,926,524,314,176,50,18
2011,성동구,옥수동,721,"2,403","1,172",689,314,"1,446",716,229,120,39,22
2011,광진구,소계,"24,607","116,300","48,542","25,425","10,818","67,062","27,200","20,711","8,444","3,102","2,080"
2011,광진구,화양동,"2,404","13,450","6,508","2,614","1,119","7,761","3,863","2,918","1,433",157,93
2011,광진구,군자동,"1,624","7,702","3,585","1,690",739,"4,053","1,701","1,466",734,493,411
2011,광진구,중곡1동,"1,626","6,264","2,532","1,735",726,"3,831","1,366",624,398,74,42
2011,광진구,중곡2동,"1,728","5,769","2,845","1,840",804,"2,740","1,346",860,415,329,280
2011,광진구,중곡3동,"1,379","4,453","2,171","1,672",757,"2,092",985,597,372,92,57
2011,광진구,중곡4동,"1,558","4,607","2,078","1,780",718,"2,111",989,664,346,52,25
2011,광진구,능동,735,"4,577","2,072",653,267,"3,000","1,176",600,385,324,244
2011,광진구,구의1동,"1,823","6,550","2,848","1,839",794,"3,507","1,433",721,393,483,228
2011,광진구,구의2동,"1,336","4,801","2,150","1,422",590,"2,922","1,277",436,278,21,5
2011,광진구,구의3동,"2,650","20,148","5,599","2,322",904,"11,465","3,617","6,136",925,225,153
2011,광진구,광장동,"1,272","9,169","4,010","1,074",525,"6,423","2,723","1,511",656,161,106
2011,광진구,자양1동,"1,673","8,530","3,469","1,780",786,"5,345","1,846","1,173",672,232,165
2011,광진구,자양2동,"1,502","7,582","2,870","1,493",577,"4,714","1,799","1,052",315,323,179
2011,광진구,자양3동,"1,277","5,979","3,019","1,228",509,"3,676","1,852","1,007",614,68,44
2011,광진구,자양4동,"2,020","6,719","2,786","2,283","1,003","3,422","1,227",946,508,68,48
2011,동대문구,소계,"30,130","129,592","57,565","33,010","13,453","75,489","32,727","15,353","7,508","5,740","3,877"
2011,동대문구,회기동,961,"9,589","4,835","1,163",553,"6,330","3,210","2,096","1,072",-,-
2011,동대문구,휘경1동,995,"3,978","1,960","1,190",536,"2,381","1,128",351,245,56,51
2011,동대문구,휘경2동,819,"4,106","2,242",896,322,"2,603","1,492",429,292,178,136
2011,동대문구,청량리동,"1,689","7,905","3,546","1,886",865,"4,859","1,969",782,464,378,248
2011,동대문구,용신동,"5,287","27,499","11,149","5,432","2,105","17,391","6,362","2,424","1,159","2,252","1,523"
2011,동대문구,제기동,"4,611","11,531","5,224","5,740","2,563","4,639","1,825",568,346,584,490
2011,동대문구,전농1동,"1,879","7,164","3,495","1,997",811,"4,116","2,089",850,557,201,38
2011,동대문구,전농2동,819,"3,038","1,550",847,340,"1,754",990,368,208,69,12
2011,동대문구,답십리1동,"1,673","12,026","4,085","1,777",696,"7,384","2,625","2,684",683,181,81
2011,동대문구,답십리2동,"1,924","5,541","2,192","1,995",685,"2,766","1,061",417,208,363,238
2011,동대문구,장안1동,"4,070","19,102","8,620","4,066","1,504","11,682","5,390","2,326",948,"1,028",778
2011,동대문구,장안2동,"3,190","11,007","5,501","3,471","1,365","5,757","2,926","1,443",966,336,244
2011,동대문구,이문1동,"1,451","4,875","2,300","1,671",734,"2,560","1,236",535,296,109,34
2011,동대문구,이문2동,762,"2,231",866,879,374,"1,267",424,80,64,5,4
2011,중랑구,소계,"26,992","92,326","42,916","30,609","12,170","42,651","19,196","15,251","9,307","3,815","2,243"
2011,중랑구,면목2동,"2,010","5,685","2,441","2,351",889,"2,028",764,"1,146",683,160,105
2011,중랑구,면목4동,"1,081","3,285","1,495","1,231",515,"1,606",648,405,296,43,36
2011,중랑구,면목5동,"1,025","3,809","1,339","1,156",423,"1,683",573,773,329,197,14
2011,중랑구,면목7동,"1,485","3,875","2,021","1,913",854,"1,372",719,539,417,51,31
2011,중랑구,상봉1동,915,"5,147","2,365",937,366,"2,817","1,050",721,355,672,594
2011,중랑구,상봉2동,"2,107","10,110","4,853","2,428","1,094","5,245","2,271","1,557",976,880,512
2011,중랑구,중화1동,"1,089","3,440","1,794","1,167",458,"1,653","1,017",498,253,122,66
2011,중랑구,중화2동,"2,293","6,338","2,906","2,621","1,141","2,296",998,"1,234",698,187,69
2011,중랑구,묵1동,"1,432","5,286","2,583","1,506",595,"2,675","1,317",936,541,169,130
2011,중랑구,묵2동,"1,789","5,237","2,038","1,968",665,"2,304",871,796,430,169,72
2011,중랑구,망우3동,"1,072","3,543","1,747","1,260",499,"1,581",745,678,501,24,2
2011,중랑구,신내1동,"1,499","6,826","2,875","1,655",603,"4,368","1,804",651,400,152,68
2011,중랑구,신내2동,"1,075","5,356","2,724","1,096",449,"3,171","1,512",994,683,95,80
2011,중랑구,면목본동,"2,397","6,750","3,563","2,895","1,275","1,644",889,"1,564","1,083",647,316
2011,중랑구,면목3.8동,"2,973","7,242","3,208","3,380","1,073","2,958","1,503",866,600,38,32
2011,중랑구,망우본동,"2,750","10,397","4,964","3,045","1,271","5,250","2,515","1,893","1,062",209,116
2011,성북구,소계,"24,674","101,472","47,952","27,661","11,607","55,373","26,026","15,288","8,226","3,150","2,093"
2011,성북구,돈암1동,376,"1,500",819,358,127,885,556,137,94,120,42
2011,성북구,돈암2동,399,"1,719","1,111",367,153,"1,178",830,100,70,74,58
2011,성북구,안암동,"1,258","11,041","5,137","1,353",550,"7,653","3,708","1,935",834,100,45
2011,성북구,보문동,"1,253","5,165","2,303","1,408",527,"2,987","1,365",716,365,54,46
2011,성북구,정릉1동,779,"1,769",864,863,332,702,398,180,112,24,22
2011,성북구,정릉2동,909,"2,651","1,179",987,365,"1,159",584,381,162,124,68
2011,성북구,정릉3동,724,"3,426","1,693",818,326,"2,055",889,238,178,315,300
2011,성북구,정릉4동,866,"3,924","1,445",975,403,"2,377",835,238,96,334,111
2011,성북구,길음1동,"1,095","3,122","1,796","1,185",560,"1,573",975,264,185,100,76
2011,성북구,길음2동,993,"4,374","2,294","1,048",511,"2,250","1,192",823,376,253,215
2011,성북구,월곡1동,"1,425","4,998","2,274","1,662",707,"2,597","1,117",694,434,45,16
2011,성북구,월곡2동,"1,551","7,592","3,489","1,776",720,"4,229","1,708","1,561","1,059",26,2
2011,성북구,장위1동,"1,169","2,806","1,477","1,434",601,864,521,427,284,81,71
2011,성북구,장위2동,"1,638","5,194","2,487","2,064",894,"2,192","1,003",916,583,22,7
2011,성북구,장위3동,"1,243","4,773","2,071","1,522",611,"2,284",770,809,537,158,153
2011,성북구,성북동,"1,036","5,514","2,890","1,001",447,"3,382","1,720",678,406,453,317
2011,성북구,삼선동,"1,722","8,426","3,866","1,929",863,"5,080","2,213","1,075",588,342,202
2011,성북구,동선동,"1,916","7,854","4,258","1,976",877,"4,436","2,457","1,224",803,218,121
2011,성북구,종암동,"1,988","6,914","3,062","2,203",909,"3,669","1,666",929,404,113,83
2011,성북구,석관동,"2,334","8,710","3,437","2,732","1,124","3,821","1,519","1,963",656,194,138
2011,강북구,소계,"19,404","68,217","34,466","21,901","9,263","31,949","15,462","9,275","5,783","5,092","3,958"
2011,강북구,번1동,"1,795","8,942","5,113","1,879",824,"3,853","1,959","1,262",753,"1,948","1,577"
2011,강북구,번2동,658,"3,346","1,127",680,205,"2,228",676,394,213,44,33
2011,강북구,번3동,817,"2,485","1,041",846,261,"1,309",565,327,212,3,3
2011,강북구,수유1동,"1,623","5,546","2,717","1,973",895,"2,669","1,157",495,371,409,294
2011,강북구,수유2동,"1,329","3,794","1,661","1,482",645,"1,932",814,251,132,129,70
2011,강북구,수유3동,"2,442","8,821","4,621","2,988","1,353","3,671","1,774","1,285",833,877,661
2011,강북구,삼양동,"1,273","3,365","1,819","1,449",628,"1,259",709,630,456,27,26
2011,강북구,미아동,"1,936","5,921","3,085","2,182",836,"1,811",961,"1,455",883,473,405
2011,강북구,송중동,"1,983","7,314","4,056","2,113",909,"3,723","2,181",986,602,492,364
2011,강북구,송천동,"2,255","7,345","4,046","2,541","1,131","3,219","1,763","1,127",755,458,397
2011,강북구,삼각산동,684,"1,876","1,020",756,319,950,632,168,69,2,-
2011,강북구,우이동,994,"3,572","1,315","1,183",544,"2,002",598,319,152,68,21
2011,강북구,인수동,"1,615","5,890","2,845","1,829",713,"3,323","1,673",576,352,162,107
2011,도봉구,소계,"17,659","62,791","28,329","18,779","7,332","34,951","14,973","7,345","4,734","1,716","1,290"
2011,도봉구,쌍문1동,889,"3,610","1,744",947,345,"1,983",944,677,455,3,-
2011,도봉구,쌍문2동,"1,246","4,507","2,054","1,291",544,"2,545","1,044",528,354,143,112
2011,도봉구,쌍문3동,896,"3,030","1,590",946,390,"1,768","1,000",236,164,80,36
2011,도봉구,쌍문4동,590,"1,846",967,618,255,896,481,323,226,9,5
2011,도봉구,방학1동,"2,205","10,553","4,506","2,345","1,067","6,254","2,234","1,548",900,406,305
2011,도봉구,방학2동,"1,305","3,058","1,556","1,542",607,879,486,579,411,58,52
2011,도봉구,방학3동,853,"2,811","1,154",855,274,"1,645",719,299,155,12,6
2011,도봉구,창1동,"1,072","3,628","2,094","1,111",446,"1,708",982,465,343,344,323
2011,도봉구,창2동,"1,341","4,382","1,908","1,519",592,"2,234",916,596,390,33,10
2011,도봉구,창3동,983,"2,146","1,086","1,156",479,714,475,272,129,4,3
2011,도봉구,창4동,"1,170","6,118","2,680","1,019",363,"4,378","1,768",351,251,370,298
2011,도봉구,창5동,"2,083","6,363","2,837","2,090",598,"3,608","1,749",543,397,122,93
2011,도봉구,도봉1동,"1,673","5,452","2,172","1,897",801,"2,875",943,605,395,75,33
2011,도봉구,도봉2동,"1,353","5,287","1,981","1,443",571,"3,464","1,232",323,164,57,14
2011,노원구,소계,"25,636","103,761","51,167","26,868","10,329","58,867","28,694","12,307","7,536","5,719","4,608"
2011,노원구,월계1동,"1,456","5,319","1,978","1,620",633,"3,250","1,092",445,249,4,4
2011,노원구,월계2동,"1,105","3,562","1,417","1,152",329,"2,211",968,198,119,1,1
2011,노원구,월계3동,963,"3,251","1,514",986,321,"2,072","1,044",144,100,49,49
2011,노원구,공릉2동,"1,925","10,431","4,968","2,031",795,"6,248","3,024","2,148","1,147",4,2
2011,노원구,하계1동,893,"6,999","3,246",835,315,"5,431","2,457",644,387,89,87
